match_id,date,season,home_team,away_team,home_goals,away_goals,result
20110813_Blackburn_Wolves,2011-08-13,2011-2012,Blackburn,Wolves,1,2,A
20110813_Fulham_Aston_Villa,2011-08-13,2011-2012,Fulham,Aston Villa,0,0,D
20110813_Liverpool_Sunderland,2011-08-13,2011-2012,Liverpool,Sunderland,1,1,D
20110813_Newcastle_Arsenal,2011-08-13,2011-2012,Newcastle,Arsenal,0,0,D
20110813_QPR_Bolton,2011-08-13,2011-2012,QPR,Bolton,0,4,A
20110813_Wigan_Norwich,2011-08-13,2011-2012,Wigan,Norwich,1,1,D
20110814_Stoke_Chelsea,2011-08-14,2011-2012,Stoke,Chelsea,0,0,D
20110814_West_Brom_Man_United,2011-08-14,2011-2012,West Brom,Man United,1,2,A
20110815_Man_City_Swansea,2011-08-15,2011-2012,Man City,Swansea,4,0,H
20110820_Arsenal_Liverpool,2011-08-20,2011-2012,Arsenal,Liverpool,0,2,A
20110820_Aston_Villa_Blackburn,2011-08-20,2011-2012,Aston Villa,Blackburn,3,1,H
20110820_Chelsea_West_Brom,2011-08-20,2011-2012,Chelsea,West Brom,2,1,H
20110820_Everton_QPR,2011-08-20,2011-2012,Everton,QPR,0,1,A
20110820_Sunderland_Newcastle,2011-08-20,2011-2012,Sunderland,Newcastle,0,1,A
20110820_Swansea_Wigan,2011-08-20,2011-2012,Swansea,Wigan,0,0,D
20110821_Bolton_Man_City,2011-08-21,2011-2012,Bolton,Man City,2,3,A
20110821_Norwich_Stoke,2011-08-21,2011-2012,Norwich,Stoke,1,1,D
20110821_Wolves_Fulham,2011-08-21,2011-2012,Wolves,Fulham,2,0,H
20110822_Man_United_Tottenham,2011-08-22,2011-2012,Man United,Tottenham,3,0,H
20110827_Aston_Villa_Wolves,2011-08-27,2011-2012,Aston Villa,Wolves,0,0,D
20110827_Blackburn_Everton,2011-08-27,2011-2012,Blackburn,Everton,0,1,A
20110827_Chelsea_Norwich,2011-08-27,2011-2012,Chelsea,Norwich,3,1,H
20110827_Liverpool_Bolton,2011-08-27,2011-2012,Liverpool,Bolton,3,1,H
20110827_Swansea_Sunderland,2011-08-27,2011-2012,Swansea,Sunderland,0,0,D
20110827_Wigan_QPR,2011-08-27,2011-2012,Wigan,QPR,2,0,H
20110828_Man_United_Arsenal,2011-08-28,2011-2012,Man United,Arsenal,8,2,H
20110828_Newcastle_Fulham,2011-08-28,2011-2012,Newcastle,Fulham,2,1,H
20110828_Tottenham_Man_City,2011-08-28,2011-2012,Tottenham,Man City,1,5,A
20110828_West_Brom_Stoke,2011-08-28,2011-2012,West Brom,Stoke,0,1,A
20110910_Arsenal_Swansea,2011-09-10,2011-2012,Arsenal,Swansea,1,0,H
20110910_Bolton_Man_United,2011-09-10,2011-2012,Bolton,Man United,0,5,A
20110910_Everton_Aston_Villa,2011-09-10,2011-2012,Everton,Aston Villa,2,2,D
20110910_Man_City_Wigan,2011-09-10,2011-2012,Man City,Wigan,3,0,H
20110910_Stoke_Liverpool,2011-09-10,2011-2012,Stoke,Liverpool,1,0,H
20110910_Sunderland_Chelsea,2011-09-10,2011-2012,Sunderland,Chelsea,1,2,A
20110910_Wolves_Tottenham,2011-09-10,2011-2012,Wolves,Tottenham,0,2,A
20110911_Fulham_Blackburn,2011-09-11,2011-2012,Fulham,Blackburn,1,1,D
20110911_Norwich_West_Brom,2011-09-11,2011-2012,Norwich,West Brom,0,1,A
20110912_QPR_Newcastle,2011-09-12,2011-2012,QPR,Newcastle,0,0,D
20110917_Aston_Villa_Newcastle,2011-09-17,2011-2012,Aston Villa,Newcastle,1,1,D
20110917_Blackburn_Arsenal,2011-09-17,2011-2012,Blackburn,Arsenal,4,3,H
20110917_Bolton_Norwich,2011-09-17,2011-2012,Bolton,Norwich,1,2,A
20110917_Everton_Wigan,2011-09-17,2011-2012,Everton,Wigan,3,1,H
20110917_Swansea_West_Brom,2011-09-17,2011-2012,Swansea,West Brom,3,0,H
20110917_Wolves_QPR,2011-09-17,2011-2012,Wolves,QPR,0,3,A
20110918_Fulham_Man_City,2011-09-18,2011-2012,Fulham,Man City,2,2,D
20110918_Man_United_Chelsea,2011-09-18,2011-2012,Man United,Chelsea,3,1,H
20110918_Sunderland_Stoke,2011-09-18,2011-2012,Sunderland,Stoke,4,0,H
20110918_Tottenham_Liverpool,2011-09-18,2011-2012,Tottenham,Liverpool,4,0,H
20110924_Arsenal_Bolton,2011-09-24,2011-2012,Arsenal,Bolton,3,0,H
20110924_Chelsea_Swansea,2011-09-24,2011-2012,Chelsea,Swansea,4,1,H
20110924_Liverpool_Wolves,2011-09-24,2011-2012,Liverpool,Wolves,2,1,H
20110924_Man_City_Everton,2011-09-24,2011-2012,Man City,Everton,2,0,H
20110924_Newcastle_Blackburn,2011-09-24,2011-2012,Newcastle,Blackburn,3,1,H
20110924_Stoke_Man_United,2011-09-24,2011-2012,Stoke,Man United,1,1,D
20110924_West_Brom_Fulham,2011-09-24,2011-2012,West Brom,Fulham,0,0,D
20110924_Wigan_Tottenham,2011-09-24,2011-2012,Wigan,Tottenham,1,2,A
20110925_QPR_Aston_Villa,2011-09-25,2011-2012,QPR,Aston Villa,1,1,D
20110926_Norwich_Sunderland,2011-09-26,2011-2012,Norwich,Sunderland,2,1,H
20111001_Aston_Villa_Wigan,2011-10-01,2011-2012,Aston Villa,Wigan,2,0,H
20111001_Blackburn_Man_City,2011-10-01,2011-2012,Blackburn,Man City,0,4,A
20111001_Everton_Liverpool,2011-10-01,2011-2012,Everton,Liverpool,0,2,A
20111001_Man_United_Norwich,2011-10-01,2011-2012,Man United,Norwich,2,0,H
20111001_Sunderland_West_Brom,2011-10-01,2011-2012,Sunderland,West Brom,2,2,D
