player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
Patrick van Aanholt,Wigan Athletic,2011-2012,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0
Charlie Adam,Liverpool,2011-2012,28,27,,24.1,2,6,8,1,1,2,6,1,0.29
Emmanuel Adebayor,Tottenham,2011-2012,33,32,,31.4,17,11,28,14,3,4,3,0,0.8
Gabriel Agbonlahor,Aston Villa,2011-2012,33,32,,30.7,5,5,10,5,0,0,6,0,0.33
Daniel Agger,Liverpool,2011-2012,27,24,,23.8,1,1,2,1,0,0,6,0,0.08
Sergio Agüero,Manchester City,2011-2012,34,31,,28.6,23,8,31,20,3,3,2,0,0.98
Kemy Agustien,Swansea City,2011-2012,13,7,713.0,7.9,0,0,0,0,0,0,3,0,0.0
Patrick Agyemang,QPR,2011-2012,2,2,144.0,1.6,0,0,0,0,0,0,0,0,0.0
Yakubu Aiyegbeni,Blackburn,2011-2012,30,29,,27.1,17,2,19,13,4,5,1,1,0.55
Marc Albrighton,Aston Villa,2011-2012,26,15,,16.6,2,2,4,2,0,0,3,0,0.24
Antolín Alcaraz,Wigan Athletic,2011-2012,25,25,,24.1,2,0,2,2,0,0,5,0,0.08
Alex,Chelsea,2011-2012,3,3,245.0,2.7,0,0,0,0,0,0,0,0,0.0
Joe Allen,Swansea City,2011-2012,36,31,,32.2,4,2,6,4,0,0,3,1,0.19
Marcos Alonso,Bolton,2011-2012,5,4,331.0,3.7,1,0,1,1,0,0,0,0,0.27
Sammy Ameobi,Newcastle Utd,2011-2012,10,1,202.0,2.2,0,0,0,0,0,0,0,0,0.0
Shola Ameobi,Newcastle Utd,2011-2012,27,8,,11.4,2,5,7,2,0,0,3,0,0.62
Ben Amos,Manchester Utd,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Anderson,Manchester Utd,2011-2012,10,8,690.0,7.7,2,1,3,2,0,0,2,0,0.39
Bruno Andrade,QPR,2011-2012,1,0,11.0,0.1,0,0,0,0,0,0,0,0,0.0
Keith Andrews,West Brom,2011-2012,14,8,789.0,8.8,2,1,3,2,0,0,2,0,0.34
Nicolas Anelka,Chelsea,2011-2012,9,3,421.0,4.7,1,1,2,1,0,0,0,0,0.43
Victor Anichebe,Everton,2011-2012,12,5,448.0,5.0,5,0,5,5,0,0,1,0,1.0
John Arne Riise,Fulham,2011-2012,36,35,,34.9,0,4,4,0,0,0,2,0,0.11
Andrey Arshavin,Arsenal,2011-2012,19,8,724.0,8.0,1,3,4,1,0,0,1,0,0.5
Mikel Arteta,Arsenal,2011-2012,29,29,,27.4,6,2,8,6,0,0,4,0,0.29
Mikel Arteta,Everton,2011-2012,2,1,127.0,1.4,1,0,1,0,1,1,1,0,0.0
Benoît Assou-Ekotto,Tottenham,2011-2012,34,34,,32.9,2,4,6,2,0,0,6,0,0.18
Fábio Aurélio,Liverpool,2011-2012,2,1,65.0,0.7,0,0,0,0,0,0,0,0,0.0
Daniel Ayala,Norwich City,2011-2012,7,6,497.0,5.5,0,0,0,0,0,0,2,0,0.0
Demba Ba,Newcastle Utd,2011-2012,34,32,,30.2,16,2,18,14,2,3,1,0,0.53
Leighton Baines,Everton,2011-2012,33,33,,33.0,4,2,6,1,3,3,7,0,0.09
Chris Baird,Fulham,2011-2012,19,13,,14.2,0,0,0,0,0,0,6,0,0.0
Nathan Baker,Aston Villa,2011-2012,8,6,551.0,6.1,0,0,0,0,0,0,0,0,0.0
Gareth Bale,Tottenham,2011-2012,36,36,,35.7,9,10,19,9,0,0,3,0,0.53
Mario Balotelli,Manchester City,2011-2012,23,14,,14.8,13,1,14,10,3,3,8,2,0.75
Barry Bannan,Aston Villa,2011-2012,28,10,,14.0,1,2,3,0,1,1,2,0,0.14
Phil Bardsley,Sunderland,2011-2012,31,29,,27.5,1,0,1,1,0,0,5,1,0.04
Ross Barkley,Everton,2011-2012,6,2,216.0,2.4,0,0,0,0,0,0,0,0,0.0
Leon Barnett,Norwich City,2011-2012,17,13,,13.7,1,1,2,1,0,0,2,1,0.15
Gareth Barry,Manchester City,2011-2012,34,31,,30.4,1,3,4,1,0,0,10,1,0.13
Joey Barton,QPR,2011-2012,31,31,,29.7,3,3,6,3,0,0,8,2,0.2
Joey Barton,Newcastle Utd,2011-2012,2,2,180.0,2.0,0,0,0,0,0,0,2,0,0.0
Sébastien Bassong,Tottenham,2011-2012,5,1,228.0,2.5,0,0,0,0,0,0,0,0,0.0
Sébastien Bassong,Wolves,2011-2012,9,9,682.0,7.6,0,0,0,0,0,0,1,1,0.0
Jose Baxter,Everton,2011-2012,1,0,13.0,0.1,0,0,0,0,0,0,0,0,0.0
Jean Beausejour,Wigan Athletic,2011-2012,16,16,,15.4,0,5,5,0,0,0,1,0,0.32
Jermaine Beckford,Everton,2011-2012,2,1,68.0,0.8,0,0,0,0,0,0,0,0,0.0
Asmir Begović,Stoke City,2011-2012,23,22,,22.2,0,0,0,0,0,0,0,0,0.0
Craig Bellamy,Liverpool,2011-2012,27,12,,13.9,6,3,9,6,0,0,6,0,0.65
Hatem Ben Arfa,Newcastle Utd,2011-2012,26,16,,17.3,5,5,10,5,0,0,2,0,0.58
Yossi Benayoun,Arsenal,2011-2012,19,10,904.0,10.0,4,1,5,4,0,0,1,0,0.5
