player,team,season,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalties_scored,penalties_attempted
Patrick van Aanholt,Wigan Athletic,2011-2012,3.0,0,,0.0,,,0.0,,,,0,0
Charlie Adam,Liverpool,2011-2012,24.1,2,,12.0,,,0.5,,0.08,,1,2
Emmanuel Adebayor,Tottenham,2011-2012,31.4,17,,49.0,,,1.56,,0.29,,3,4
Gabriel Agbonlahor,Aston Villa,2011-2012,30.7,5,,20.0,,,0.65,,0.25,,0,0
Daniel Agger,Liverpool,2011-2012,23.8,1,,7.0,,,0.29,,0.14,,0,0
Sergio Agüero,Manchester City,2011-2012,28.6,23,,52.0,,,1.82,,0.38,,3,3
Kemy Agustien,Swansea City,2011-2012,7.9,0,,0.0,,,0.0,,,,0,0
Patrick Agyemang,QPR,2011-2012,1.6,0,,1.0,,,0.62,,0.0,,0,0
Yakubu Aiyegbeni,Blackburn,2011-2012,27.1,17,,33.0,,,1.22,,0.39,,4,5
Marc Albrighton,Aston Villa,2011-2012,16.6,2,,6.0,,,0.36,,0.33,,0,0
Antolín Alcaraz,Wigan Athletic,2011-2012,24.1,2,,3.0,,,0.12,,0.67,,0,0
Alex,Chelsea,2011-2012,2.7,0,,2.0,,,0.73,,0.0,,0,0
Joe Allen,Swansea City,2011-2012,32.2,4,,12.0,,,0.37,,0.33,,0,0
Marcos Alonso,Bolton,2011-2012,3.7,1,,1.0,,,0.27,,1.0,,0,0
Sammy Ameobi,Newcastle Utd,2011-2012,2.2,0,,4.0,,,1.78,,0.0,,0,0
Shola Ameobi,Newcastle Utd,2011-2012,11.4,2,,7.0,,,0.62,,0.29,,0,0
Ben Amos,Manchester Utd,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
Anderson,Manchester Utd,2011-2012,7.7,2,,5.0,,,0.65,,0.4,,0,0
Bruno Andrade,QPR,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Keith Andrews,West Brom,2011-2012,8.8,2,,9.0,,,1.03,,0.22,,0,0
Nicolas Anelka,Chelsea,2011-2012,4.7,1,,8.0,,,1.71,,0.13,,0,0
Victor Anichebe,Everton,2011-2012,5.0,5,,7.0,,,1.41,,0.71,,0,0
John Arne Riise,Fulham,2011-2012,34.9,0,,10.0,,,0.29,,0.0,,0,0
Andrey Arshavin,Arsenal,2011-2012,8.0,1,,5.0,,,0.62,,0.2,,0,0
Mikel Arteta,Arsenal,2011-2012,27.4,6,,13.0,,,0.47,,0.46,,0,0
Mikel Arteta,Everton,2011-2012,1.4,1,,1.0,,,0.71,,0.0,,1,1
Benoît Assou-Ekotto,Tottenham,2011-2012,32.9,2,,5.0,,,0.15,,0.4,,0,0
Fábio Aurélio,Liverpool,2011-2012,0.7,0,,0.0,,,0.0,,,,0,0
Daniel Ayala,Norwich City,2011-2012,5.5,0,,0.0,,,0.0,,,,0,0
Demba Ba,Newcastle Utd,2011-2012,30.2,16,,42.0,,,1.39,,0.33,,2,3
Leighton Baines,Everton,2011-2012,33.0,4,,5.0,,,0.15,,0.2,,3,3
Chris Baird,Fulham,2011-2012,14.2,0,,4.0,,,0.28,,0.0,,0,0
Nathan Baker,Aston Villa,2011-2012,6.1,0,,0.0,,,0.0,,,,0,0
Gareth Bale,Tottenham,2011-2012,35.7,9,,48.0,,,1.34,,0.19,,0,0
Mario Balotelli,Manchester City,2011-2012,14.8,13,,31.0,,,2.1,,0.32,,3,3
Barry Bannan,Aston Villa,2011-2012,14.0,1,,8.0,,,0.57,,0.0,,1,1
Phil Bardsley,Sunderland,2011-2012,27.5,1,,2.0,,,0.07,,0.5,,0,0
Ross Barkley,Everton,2011-2012,2.4,0,,2.0,,,0.83,,0.0,,0,0
Leon Barnett,Norwich City,2011-2012,13.7,1,,1.0,,,0.07,,1.0,,0,0
Gareth Barry,Manchester City,2011-2012,30.4,1,,6.0,,,0.2,,0.17,,0,0
Joey Barton,QPR,2011-2012,29.7,3,,10.0,,,0.34,,0.3,,0,0
Joey Barton,Newcastle Utd,2011-2012,2.0,0,,1.0,,,0.5,,0.0,,0,0
Sébastien Bassong,Tottenham,2011-2012,2.5,0,,0.0,,,0.0,,,,0,0
Sébastien Bassong,Wolves,2011-2012,7.6,0,,0.0,,,0.0,,,,0,0
Jose Baxter,Everton,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Jean Beausejour,Wigan Athletic,2011-2012,15.4,0,,3.0,,,0.19,,0.0,,0,0
Jermaine Beckford,Everton,2011-2012,0.8,0,,1.0,,,1.32,,0.0,,0,0
Asmir Begović,Stoke City,2011-2012,22.2,0,,0.0,,,0.0,,,,0,0
Craig Bellamy,Liverpool,2011-2012,13.9,6,,15.0,,,1.08,,0.4,,0,0
Hatem Ben Arfa,Newcastle Utd,2011-2012,17.3,5,,11.0,,,0.64,,0.45,,0,0
Yossi Benayoun,Arsenal,2011-2012,10.0,4,,12.0,,,1.19,,0.33,,0,0
Yossi Benayoun,Chelsea,2011-2012,0.0,0,,0.0,,,0.0,,,,0,0
Nicklas Bendtner,Arsenal,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Nicklas Bendtner,Sunderland,2011-2012,24.7,8,,23.0,,,0.93,,0.3,,1,1
Elliott Bennett,Norwich City,2011-2012,22.4,1,,10.0,,,0.45,,0.1,,0,0
Ryan Bennett,Norwich City,2011-2012,8.0,0,,0.0,,,0.0,,,,0,0
Darren Bent,Aston Villa,2011-2012,20.6,9,,26.0,,,1.26,,0.27,,2,2
Dimitar Berbatov,Manchester Utd,2011-2012,5.8,7,,10.0,,,1.73,,0.5,,2,2
Christophe Berra,Wolves,2011-2012,30.0,0,,3.0,,,0.1,,0.0,,0,0
Ryan Bertrand,Chelsea,2011-2012,6.0,0,,1.0,,,0.17,,0.0,,0,0
Federico Bessone,Swansea City,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Leon Best,Newcastle Utd,2011-2012,12.8,4,,8.0,,,0.63,,0.5,,0,0
Diniyar Bilyaletdinov,Everton,2011-2012,5.8,0,,0.0,,,0.0,,,,0,0
Nick Blackman,Blackburn,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Robbie Blake,Bolton,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Ádám Bogdán,Bolton,2011-2012,20.0,0,,0.0,,,0.0,,,,0,0
José Bosingwa,Chelsea,2011-2012,23.5,1,,4.0,,,0.17,,0.25,,0,0
Jay Bothroyd,QPR,2011-2012,12.3,2,,10.0,,,0.82,,0.2,,0,0
Dedryck Boyata,Bolton,2011-2012,12.5,1,,2.0,,,0.16,,0.5,,0,0
Emmerson Boyce,Wigan Athletic,2011-2012,25.2,3,,4.0,,,0.16,,0.75,,0,0
Titus Bramble,Sunderland,2011-2012,7.2,1,,2.0,,,0.28,,0.5,,0,0
Wayne Bridge,Sunderland,2011-2012,3.6,0,,0.0,,,0.0,,,,0,0
Matthew Briggs,Fulham,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
Leon Britton,Swansea City,2011-2012,33.4,0,,0.0,,,0.0,,,,0,0
Wes Brown,Sunderland,2011-2012,19.3,1,,3.0,,,0.16,,0.33,,0,0
Chris Brunt,West Brom,2011-2012,25.6,2,,11.0,,,0.43,,0.18,,0,0
Mark Bunn,Blackburn,2011-2012,3.0,0,,0.0,,,0.0,,,,0,0
Ákos Buzsáky,QPR,2011-2012,10.0,2,,8.0,,,0.8,,0.25,,0,0
Yohan Cabaye,Newcastle Utd,2011-2012,31.3,4,,20.0,,,0.64,,0.2,,0,0
Gary Cahill,Bolton,2011-2012,18.2,2,,7.0,,,0.38,,0.29,,0,0
