Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
1;Patrick van Aanholt;nl NED;DF;Wigan Athletic;20;1990;3.0;0;;0;;;0.00;;;;0;0;Matches
2;Charlie Adam;sct SCO;MF;Liverpool;25;1985;24.1;2;;12;;;0.50;;0.08;;1;2;Matches
3;Emmanuel Adebayor;tg TOG;FW;Tottenham;27;1984;31.4;17;;49;;;1.56;;0.29;;3;4;Matches
4;Gabriel Agbonlahor;eng ENG;FW,MF;Aston Villa;24;1986;30.7;5;;20;;;0.65;;0.25;;0;0;Matches
5;Daniel Agger;dk DEN;DF;Liverpool;26;1984;23.8;1;;7;;;0.29;;0.14;;0;0;Matches
6;Sergio Agüero;ar ARG;FW;Manchester City;23;1988;28.6;23;;52;;;1.82;;0.38;;3;3;Matches
7;Kemy Agustien;cw CUW;DF,MF;Swansea City;24;1986;7.9;0;;0;;;0.00;;;;0;0;Matches
8;Patrick Agyemang;gh GHA;FW;QPR;30;1980;1.6;0;;1;;;0.62;;0.00;;0;0;Matches
9;Yakubu Aiyegbeni;ng NGA;FW;Blackburn;28;1982;27.1;17;;33;;;1.22;;0.39;;4;5;Matches
10;Marc Albrighton;eng ENG;DF,FW;Aston Villa;21;1989;16.6;2;;6;;;0.36;;0.33;;0;0;Matches
11;Antolín Alcaraz;py PAR;DF;Wigan Athletic;29;1982;24.1;2;;3;;;0.12;;0.67;;0;0;Matches
12;Alex;br BRA;DF;Chelsea;29;1982;2.7;0;;2;;;0.73;;0.00;;0;0;Matches
13;Joe Allen;wls WAL;MF;Swansea City;21;1990;32.2;4;;12;;;0.37;;0.33;;0;0;Matches
14;Marcos Alonso;es ESP;DF,MF;Bolton;20;1990;3.7;1;;1;;;0.27;;1.00;;0;0;Matches
15;Sammy Ameobi;eng ENG;FW,MF;Newcastle Utd;19;1992;2.2;0;;4;;;1.78;;0.00;;0;0;Matches
16;Shola Ameobi;ng NGA;FW;Newcastle Utd;29;1981;11.4;2;;7;;;0.62;;0.29;;0;0;Matches
17;Ben Amos;eng ENG;GK;Manchester Utd;21;1990;1.0;0;;0;;;0.00;;;;0;0;Matches
18;Anderson;br BRA;MF;Manchester Utd;23;1988;7.7;2;;5;;;0.65;;0.40;;0;0;Matches
19;Bruno Andrade;pt POR;FW,MF;QPR;17;1993;0.1;0;;0;;;0.00;;;;0;0;Matches
20;Keith Andrews;ie IRL;MF;West Brom;30;1980;8.8;2;;9;;;1.03;;0.22;;0;0;Matches
21;Nicolas Anelka;fr FRA;FW;Chelsea;32;1979;4.7;1;;8;;;1.71;;0.13;;0;0;Matches
22;Victor Anichebe;ng NGA;FW;Everton;23;1988;5.0;5;;7;;;1.41;;0.71;;0;0;Matches
23;John Arne Riise;no NOR;DF,MF;Fulham;30;1980;34.9;0;;10;;;0.29;;0.00;;0;0;Matches
24;Andrey Arshavin;ru RUS;FW,MF;Arsenal;30;1981;8.0;1;;5;;;0.62;;0.20;;0;0;Matches
25;Mikel Arteta;es ESP;MF;Arsenal;29;1982;27.4;6;;13;;;0.47;;0.46;;0;0;Matches
26;Mikel Arteta;es ESP;MF;Everton;29;1982;1.4;1;;1;;;0.71;;0.00;;1;1;Matches
27;Benoît Assou-Ekotto;cm CMR;DF;Tottenham;27;1984;32.9;2;;5;;;0.15;;0.40;;0;0;Matches
28;Fábio Aurélio;br BRA;DF,MF;Liverpool;31;1979;0.7;0;;0;;;0.00;;;;0;0;Matches
29;Daniel Ayala;es ESP;DF;Norwich City;20;1990;5.5;0;;0;;;0.00;;;;0;0;Matches
